Year,ISO3,ADM0_PT,ADM0_EN,ADM0_PCODE,ADM1_PT,ADM1_PCODE,ADM2_PT,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Ancuabe,MZ0101,101233,98159,199392,19257,14543,13065,10834,8322,7040,5989,4927,4272,3663,3047,2108,1315,1065,836,600,350,20054,15089,13773,10992,8168,6453,5124,4276,3562,3020,2659,1865,1102,812,590,417,203,39311,29632,26838,21826,16490,13493,11113,9203,7834,6683,5706,3973,2417,1877,1426,1017,553
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Balama,MZ0102,96251,91913,188164,18713,14347,11821,9663,8112,7017,5948,4873,4168,3519,2831,1906,1165,901,648,385,234,19487,14886,12308,9537,7417,5930,4682,4010,3616,3064,2443,1672,1045,770,542,343,161,38200,29233,24129,19200,15529,12947,10630,8883,7784,6583,5274,3578,2210,1671,1190,728,395
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Chiure,MZ0103,157664,147658,305322,30459,23738,18504,15377,12938,11343,9851,8236,7240,6154,4889,3254,1930,1492,1106,739,414,31718,24629,19382,14981,11401,9184,7552,6534,5835,4959,4011,2764,1736,1274,880,530,288,62177,48367,37886,30358,24339,20527,17403,14770,13075,11113,8900,6018,3666,2766,1986,1269,702
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Cidade De Pemba,MZ0104,148043,150038,298081,30533,21476,19715,18045,14251,11807,8991,6556,4519,3502,2959,1997,1223,959,715,464,331,31796,22282,19809,17755,14107,11320,8536,6659,4664,3733,3515,2440,1339,918,597,360,208,62329,43758,39524,35800,28358,23127,17527,13215,9183,7235,6474,4437,2562,1877,1312,824,539
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Ibo,MZ0105,14961,15160,30121,2912,2129,1914,1687,1293,1090,915,703,494,420,439,325,198,161,125,86,70,3032,2209,2062,1753,1221,1000,907,753,540,441,405,295,194,146,100,56,46,5944,4338,3976,3440,2514,2090,1822,1456,1034,861,844,620,392,307,225,142,116
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Macomia,MZ0106,69127,66101,135228,12682,9687,8400,7002,5377,4616,4108,3379,2760,2409,2108,1742,1603,1413,1055,454,332,13206,10051,9047,7212,5078,4016,3349,2867,2459,2113,1764,1402,1237,1013,714,326,247,25888,19738,17447,14214,10455,8632,7457,6246,5219,4522,3872,3144,2840,2426,1769,780,579
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Mecufi,MZ0107,35281,32810,68091,6661,5089,4396,3574,2869,2461,2124,1742,1456,1264,1143,806,469,395,349,323,160,6937,5280,4779,3601,2408,1861,1589,1365,1168,1008,891,648,421,329,251,179,95,13598,10369,9175,7175,5277,4322,3713,3107,2624,2272,2034,1454,890,724,600,502,255
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Meluco,MZ0108,21430,20890,42320,4042,3024,2800,2332,1738,1468,1292,1040,819,694,600,457,361,310,237,128,88,4209,3138,2988,2381,1699,1331,1064,909,816,682,507,360,277,221,162,95,51,8251,6162,5788,4713,3437,2799,2356,1949,1635,1376,1107,817,638,531,399,223,139
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Metuge,MZ0109,80133,78062,158195,15093,11352,10110,8413,6642,5597,4566,3741,3299,2912,2617,1892,1211,1004,805,583,296,15717,11778,10904,8680,6244,4914,3965,3367,2892,2509,2255,1661,1114,859,623,387,193,30810,23130,21014,17093,12886,10511,8531,7108,6191,5421,4872,3553,2325,1863,1428,970,489
2024,MOZ,Mo̤ambique,Mozambique,MZ,Cabo Delgado,MZ01,Mocimboa Da Praia,MZ0110,149350,145311,294661,28346,21215,17840,15471,12446,10659,8952,7100,5546,4685,3948,3225,2980,2712,2182,1252,791,29519,22011,18768,15500,11239,9120,7784,6650,5523,4670,3849,2991,2528,2114,1600,945,500,57865,43226,36608,30971,23685,19779,16736,13750,11069,9355,7797,6216,5508,4826,3782,2197,1291
