"","value","admin2_data_scaled$pop_density","ci_lower_bd","ci_upper_bd","observed","predicted","residual","model"
"1",4.14113546003995,4.16140416695933,3.46630639099249,4.75552733023322,4.16140416695933,4.14113546003995,-0.0202687069193761,"BART"
"2",3.39359616423142,3.44802640162032,2.82490904143353,4.00155334996922,3.44802640162032,3.39359616423142,-0.054430237388893,"BART"
"3",5.0387992674345,4.95305859834977,4.3157831617161,5.76043868891687,4.95305859834977,5.0387992674345,0.0857406690847213,"BART"
"4",5.32044229470939,5.27015445534889,4.63442331530898,6.07312937927468,5.27015445534889,5.32044229470939,0.0502878393605046,"BART"
"5",3.53192831304684,3.40631680684403,2.98414507182464,4.10522381628605,3.40631680684403,3.53192831304684,0.125611506202809,"BART"
"6",3.62578969341476,3.74251106061723,2.95465738927722,4.20644548507755,3.74251106061723,3.62578969341476,-0.116721367202473,"BART"
"7",4.60309657139764,4.62344734510237,4.01905877666754,5.14120189482439,4.62344734510237,4.60309657139764,-0.0203507737047222,"BART"
"8",5.83873786724606,5.80715226855851,5.09300620250951,6.52080544832029,5.80715226855851,5.83873786724606,0.0315855986875491,"BART"
"9",3.60806798161821,3.43033181452135,3.01452112692505,4.26913317847466,3.43033181452135,3.60806798161821,0.177736167096858,"BART"
"10",3.10363868842928,2.96519833308467,2.48052202195783,3.73063410291313,2.96519833308467,3.10363868842928,0.138440355344614,"BART"
"11",4.08699994848249,3.97848851367634,3.44473214232701,4.7258374711836,3.97848851367634,4.08699994848249,0.108511434806149,"BART"
"12",3.18022502798313,3.2388689678541,2.5227344592928,3.83399372856636,3.2388689678541,3.18022502798313,-0.0586439398709677,"BART"
"13",3.09682835433923,3.19424572215645,2.45777211522292,3.73946558374909,3.19424572215645,3.09682835433923,-0.097417367817223,"BART"
"14",2.25884509931261,2.24514083285488,1.61447712366436,2.93586458451846,2.24514083285488,2.25884509931261,0.0137042664577289,"BART"
"15",3.12036761321545,3.23088063326317,2.54487124203827,3.71059680955965,3.23088063326317,3.12036761321545,-0.110513020047712,"BART"
"16",3.87247484563966,3.81000279943101,3.25954381598395,4.48928280236633,3.81000279943101,3.87247484563966,0.0624720462086468,"BART"
"17",1.04667090166877,0.98662300417396,0.481488272263994,1.65970624484582,0.98662300417396,1.04667090166877,0.0600478974948055,"BART"
"18",2.92872074984289,3.06340462063504,2.27201271253387,3.52042424683414,3.06340462063504,2.92872074984289,-0.134683870792145,"BART"
"19",0.958635009057599,0.845909489757139,0.36123137499417,1.52309697648917,0.845909489757139,0.958635009057599,0.112725519300461,"BART"
"20",3.0426977294161,2.82589627131115,2.42587232293537,3.63225461013321,2.82589627131115,3.0426977294161,0.216801458104945,"BART"
"21",3.49305366514242,3.50284541091656,2.87023223541411,4.075408848529,3.50284541091656,3.49305366514242,-0.00979174577414232,"BART"
"22",3.98597237998901,3.9836174624238,3.40019083850406,4.57826077802092,3.9836174624238,3.98597237998901,0.00235491756520956,"BART"
"23",2.86938399388792,2.87646891086569,2.28415980139524,3.39270422031096,2.87646891086569,2.86938399388792,-0.00708491697777314,"BART"
"24",4.66500509791015,4.65838841842415,4.03699645156163,5.32259104549136,4.65838841842415,4.66500509791015,0.00661667948599565,"BART"
"25",4.64766513879095,4.57353062958792,3.98350216133151,5.27586242433853,4.57353062958792,4.64766513879095,0.0741345092030299,"BART"
"26",7.11407358753278,7.18366653146409,6.39576589957829,7.83330256358303,7.18366653146409,7.11407358753278,-0.0695929439313039,"BART"
"27",8.10499753204819,8.22389347651513,7.36054071338909,8.76362809980558,8.22389347651513,8.10499753204819,-0.118895944466937,"BART"
"28",7.85446182619789,8.01156029804987,7.1763168610131,8.57954305567406,8.01156029804987,7.85446182619789,-0.157098471851977,"BART"
"29",6.32864762966319,6.26370750297148,5.66154812270711,6.97188085255733,6.26370750297148,6.32864762966319,0.0649401266917105,"BART"
"30",6.93620326160398,7.171677065452,6.20492641713039,7.56901342315148,7.171677065452,6.93620326160398,-0.235473803848024,"BART"
"31",8.05049521270422,8.27731825242356,7.32462841894828,8.72913386597386,8.27731825242356,8.05049521270422,-0.226823039719331,"BART"
"32",8.0195708055665,8.05840821895812,7.28380965247951,8.73304684241407,8.05840821895812,8.0195708055665,-0.0388374133916152,"BART"
"33",8.11691540506023,8.08423484187449,7.43723611182264,8.83388426215478,8.08423484187449,8.11691540506023,0.0326805631857425,"BART"
"34",7.97790023712602,8.24761597451521,7.26281055340433,8.66019577260707,8.24761597451521,7.97790023712602,-0.269715737389192,"BART"
"35",7.2623051629193,7.34906445541809,6.62081614941493,7.89417718135538,7.34906445541809,7.2623051629193,-0.0867592924987886,"BART"
"36",6.86436226035359,7.21587695161277,6.11831879128309,7.48522337675527,7.21587695161277,6.86436226035359,-0.35151469125918,"BART"
"37",4.2327566835765,4.18136899952653,3.55646918941338,4.93897412319814,4.18136899952653,4.2327566835765,0.0513876840499714,"BART"
"38",3.01016730289478,3.27238129305904,2.35659917089953,3.56511447522655,3.27238129305904,3.01016730289478,-0.26221399016425,"BART"
"39",3.30374828443262,3.37468944634118,2.66871211825798,3.86833073354874,3.37468944634118,3.30374828443262,-0.0709411619085576,"BART"
"40",4.73984157643684,4.71106522731147,4.1422460142452,5.36104185179029,4.71106522731147,4.73984157643684,0.0287763491253701,"BART"
"41",4.42700353751294,4.44489998746661,3.81467545064435,5.06521274791438,4.44489998746661,4.42700353751294,-0.0178964499536685,"BART"
"42",1.26561023896888,1.27458033123148,0.582155851358476,1.93293230945856,1.27458033123148,1.26561023896888,-0.00897009226260503,"BART"
