variable,importance
building_area,13.4007404119658
building_count,13.1158075082175
osm_pofw,8.5829115175887
Rangeland,6.9340794161224
Trees,6.92986094183342
Built.Area,6.8398259949401
osm_roads,6.70863166618592
osm_pois,6.63507176190318
osm_traffic,5.16921692146793
osm_transport,3.8217117298186
