"","value","train$pop_density","ci_lower_bd","ci_upper_bd","observed","predicted","residual","model"
"1",2.26992406208197,2.24514083285488,1.56067020718579,3.06148012703047,9.4417451707589,9.678665808435,-0.236920637676103,"BART"
"2",4.17558917797804,4.21005300221879,3.2842704640157,5.01798746145211,67.3601099507887,65.0781709931198,2.28193895766888,"BART"
"3",3.96865868001833,3.96215709388077,2.9378596886275,4.93167195992062,52.5706034570911,52.9135092717137,-0.34290581462254,"BART"
"4",3.3324610565429,3.30686941715995,2.36896993883127,4.37446826037001,27.299528122733,28.0071842197989,-0.707656097065925,"BART"
"5",2.0579162175261,2.09824341180791,1.04081371375736,3.05660300769468,8.15183790632634,7.8296375382978,0.322200368028534,"BART"
"6",3.35102160265784,3.40914472192435,2.3903969457909,4.23518909334108,30.2393701258977,28.5318669910323,1.70750313486538,"BART"
"7",3.66434142917004,3.62603560599313,2.60978355800115,4.69832499460861,37.5636041169969,39.0304233988589,-1.46681928186194,"BART"
"8",1.97573460338699,1.96012507512739,1.02915157242172,2.9744294912167,7.10021506992621,7.21191560600094,-0.111700536074729,"BART"
"9",1.97699504043577,2.02582259840107,1.11137067951834,2.8677346082883,7.58234560534567,7.22101150282189,0.361334102523776,"BART"
"10",2.4204887579859,2.30255686075053,1.33781208364971,3.61161336367887,9.99971768155011,11.2513571618792,-1.25163948032909,"BART"
"11",3.32663220605683,3.25705377626156,2.41336126020021,4.2978570317455,25.9729023249072,27.8444093863921,-1.87150706148487,"BART"
"12",3.86084361571828,3.80994332121994,2.82825553575852,4.79896223768351,45.1478798670456,47.5054107803409,-2.35753091329529,"BART"
"13",1.81738694296986,1.77568446385213,0.791552698755729,2.92968166441475,5.90432104790323,6.15575208436247,-0.251431036459235,"BART"
"14",7.10711214518503,7.18366653146409,6.09367650369284,8.10063086757288,1317.73091348982,1220.61748531134,97.1134281784778,"BART"
"15",4.59431156437945,4.62344734510237,3.87507825479428,5.37102775954612,101.844520864833,98.9200120411594,2.92450882367385,"BART"
"16",3.43532086741568,3.43508064846279,2.63066600290619,4.20434417633006,31.0339153021694,31.0413711322873,-0.00745583011798345,"BART"
"17",4.0435383709906,4.02684662456698,3.26587373416966,4.85130525674289,56.0837789009366,57.0277716431733,-0.943992742236709,"BART"
"18",4.6735732554948,4.74192208414698,3.72069745641943,5.61967653449779,114.654365363862,107.079682705581,7.57468265828116,"BART"
"19",3.92433651001938,3.86414420693891,3.08904925907963,4.82982603560385,47.662465766671,50.6194813958163,-2.95701562914531,"BART"
"20",2.48852714434019,2.44897466516843,1.58591047591066,3.44336341678427,11.5764708730916,12.0435246775118,-0.467053804420127,"BART"
"21",3.06695427325945,3.14916606959789,2.12653482055128,3.91493825625422,23.3166120393834,21.4763917408272,1.84022029855617,"BART"
"22",1.51477702814191,1.51381354498946,0.312316043459932,2.62653603273531,4.54402664414298,4.5484068470459,-0.00438020290291696,"BART"
"23",8.05333188257825,8.05840821895812,7.04609349033296,9.09061006029343,3160.25569345607,3144.25382231295,16.0018711431217,"BART"
"24",4.03376635210136,4.01173930793289,3.00476981501793,5.03794351763059,55.2428714162294,56.4732091918717,-1.23033777564233,"BART"
"25",2.36428541564416,2.3961498817518,1.43721456339489,3.33654627635429,10.9808174438884,10.6364354708279,0.344381973060489,"BART"
"26",2.57716998064323,2.61411093218618,1.53281416211222,3.66857898970634,13.6550706956753,13.159842801397,0.495227894278328,"BART"
"27",2.78639989207826,2.87646891086569,1.70419361619772,3.92161012860487,17.7514803219855,16.2225117542612,1.52896856772431,"BART"
"28",8.3738244138571,8.22389347651513,7.4078200190102,9.33038654906434,3728.99290124485,4332.17244188138,-603.17954063653,"BART"
"29",4.04155855882081,4.15383567552285,3.06090230597117,4.85688886522627,63.67777977098,56.9149790577669,6.76280071321317,"BART"
"30",6.06507049937321,6.12403570949856,4.9809077846928,7.1090955716758,456.704105435238,430.553030321036,26.1510751142019,"BART"
"31",5.01304355685165,4.89824137753006,4.06671402960186,5.97372486334422,134.053822201778,150.361674742414,-16.3078525406357,"BART"
"32",3.55642909673659,3.59459594764615,2.55668368392961,4.49289166729556,36.4009891107644,35.0378566921737,1.3631324185907,"BART"
"33",4.16317946358046,4.26353111292209,2.9317331186598,5.37079374544349,71.0604634782252,64.2755598652307,6.78490361299448,"BART"
"34",4.13924202165813,4.17329437824411,3.0178769396601,5.28671846223743,64.9290008469083,62.7552363072668,2.17376453964151,"BART"
"35",3.25348954894057,3.27238129305904,2.2410908146644,4.21305101603106,26.3740690122379,25.880493777198,0.493575235039863,"BART"
"36",1.23187527395889,1.20264500529401,0.173636287640573,2.25643451806526,3.32891027367724,3.42765129834612,-0.0987410246688807,"BART"
"37",8.00830486630879,8.24761597451521,6.800942446243,9.15048137820112,3818.51153260061,3005.817529302,812.694003298618,"BART"
"38",2.38292127844415,2.36436370736443,1.50270511980496,3.33787225980734,10.6372682482578,10.8365131424917,-0.199244894233841,"BART"
"39",2.5612102058037,2.51285895253768,1.63034120788901,3.5188347982063,12.340159607338,12.9514817934432,-0.611322186105168,"BART"
"40",1.92719395557923,1.95021721226294,0.989357523671999,2.83032136025885,7.03021446354701,6.87020506806052,0.160009395486492,"BART"
"41",4.6768666563612,4.9169944197158,3.62863825993069,5.80794813829709,136.591459021332,107.43292038273,29.158538638602,"BART"
"42",4.06841966503567,4.10982667687259,3.1052052647768,5.08662381209346,60.9361550093219,58.4644960597945,2.4716589495274,"BART"
"43",3.05226716864037,3.19424572215645,2.0980291348389,3.92882781761936,24.3917685812782,21.1632707772816,3.22849780399659,"BART"
