ADM_PCODE,district_area,Water,Trees,Flooded vegetation,Crops,Built Area,Bare ground,Snow/Ice,Clouds,Rangeland,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,ST_ATRAN,ST_DRAD,ST_TRAD,ST_URAD,ST_EMIS,ST_EMSD,NDVI,NDWI,NDBI,osm_traffic,osm_transport,osm_places,osm_pofw,osm_pois,osm_railways,osm_roads,building_count,building_area,DNB
MZ011501,-0.6180485048600637,-0.4431984572789206,2.180850677861656,-0.36426804558766,-0.39037618446445765,-0.25706798884069554,-0.18031789312416155,-0.11793577432708453,-0.14299569539806287,-2.042830078242824,-1.1752926757863287,-1.1604325639936937,-0.9128524594230573,-1.0238846585497945,-0.9439735752286321,-0.7521450666864069,-0.6924955497634353,-0.8202322017085021,-0.7706918053161257,0.3254245690337833,-0.3285503988782555,-1.6171958189700693,-0.4556371255640336,-0.4861653789848821,-2.8476871827183556,-2.521101598179164,-1.5240651551925195,-0.1019297762179489,-0.10784758552778456,0.04704781802078731,-0.1317353330083976,-0.14110165245106884,-0.3415993122633516,0.23942715098972636,-0.26367744065054577,-0.24055531056009272,-0.40855369749725
MZ021002,-0.25246190682345165,-0.34655958981451984,0.7488746310497635,-0.3067347915773329,-0.13719411915583668,-0.29101982204634363,-0.07800699922176152,-0.11793577432708453,-0.14639842437728365,-0.5360674731814121,-0.8369178378644248,-0.9200114908441255,-0.7717719112223509,-0.835738403752784,-0.8485189308422337,-0.8815507800534347,-0.7608522826340833,-0.744254434213088,-0.5322582526565175,-0.8385890382017014,-0.5150113747215372,-1.0426638602932032,-0.696065589007575,1.231782637814397,0.5432872928880909,0.5294769732588703,-0.41632405102751047,-0.1038013120248442,-0.10564766658409559,-0.2530538334527275,-0.1317353330083976,-0.14111192804206868,0.5055965571254469,-0.46226540866414517,-0.3114962130765549,-0.2795556849374167,-0.31667156935371904
MZ030801,0.7643843267515072,-0.12284859795868601,1.4898246413848655,-0.12428360480522009,-0.398179218004746,-0.31565073541854677,-0.18074138264073455,-0.11793577432708453,-0.14639842437728365,-1.3334513129799035,-1.1190946988401043,-1.0351844138518054,-0.9507264851390175,-1.0454893073621607,-0.9780520269652725,-0.893557134608179,-1.0110041725340195,-0.860473192985256,-0.7932398986482154,-0.5858499221537099,-0.6125388094091572,-0.536431841964351,-0.8194633433095743,-0.6137374524640716,1.1287584421417873,0.44127450259083245,0.808208330071708,-0.10488391368560436,-0.10784758552778456,-0.3043628033427315,-0.11716080043902523,-0.1418898710337116,-0.3415993122633516,-0.4116230892650755,-0.31022033123998094,-0.28150296068536446,-0.3485516624140624
MZ081902,0.6099016889867448,-0.4170708368128195,1.7594279364531311,-0.3639412897069121,-0.37872836280500544,-0.3157123609220387,-0.18074138264073455,-0.11793577432708453,-0.14639842437728365,-1.552065710185988,-1.0090137573172333,-0.9175267666864706,-1.032002922706334,-1.0250104147645676,-0.8756591943628306,-0.9182143922478551,-0.9920942176094735,-0.7875282119449581,-0.7387205122687386,-1.551645036421765,-0.6229461280894061,-0.7134446350388165,-0.7208127450657433,-0.432737706707275,0.30275370146559566,0.7492251277967268,1.49351543305923,-0.10565961739874631,-0.10784758552778456,-0.31919531738709733,-0.1317353330083976,-0.14267656315349822,-0.3415993122633516,-0.45957137377259155,-0.3248890208397649,-0.28752282345978186,-0.46642150577954566
MZ020503,-0.6192775410165853,-0.1830812000560219,-0.6767484132099144,-0.23435713686596318,1.0318500736588532,-0.06936173591674287,0.021234378167930543,-0.11793577432708453,-0.14639842437728365,0.556688871846753,-0.7490730967521668,-0.6395235176104122,-0.8730373587029304,-0.804471930554527,-0.7674962727192074,-0.8880649352668071,-0.6837185304432173,-0.8126125288596452,-0.18779855150131367,1.1094415038347518,-0.5962127058208014,-1.0130399847862708,-0.8574531909129043,-1.0254761173172426,0.23839352190789934,-0.07459336315479219,-0.8907251722047423,-0.08320454294700205,-0.10341708445925739,-0.2901400827124126,-0.1317353330083976,-0.14399848299983894,0.40195515878229615,-0.2074833179603089,-0.17836241960114502,-0.2095950816528281,-0.3184369833860801
MZ040501,-0.4743106591173145,-0.3398204713571807,-0.06848202092080218,-0.36387455273195113,-0.39391950828424405,-0.31029447788260883,-0.17739337177514997,-0.11793577432708453,-0.14639842437728365,0.4702216428858421,-1.15045159746858,-1.0872999777934453,-0.8178251739166336,-0.791454238049629,-0.6830144752525218,-0.49877514462940087,-0.5877601690746412,-0.7520636531940914,-0.8879576334522135,0.4652900191347565,-0.38170135877609557,-0.3779285133768773,-0.7246298245756984,-0.09335182529913502,0.3601708780351052,0.13298528353690847,-0.12775347333087256,-0.10298775334742183,-0.10784758552778456,-0.3008985388552475,-0.1317353330083976,-0.14088577509988115,-0.3415993122633516,-0.3547031943961133,-0.22803576185928234,-0.2443394641017661,-0.4293581805668243
MZ090902,0.347672827716333,0.33922712821662576,0.1427564681226022,-0.16392231866450807,-0.36713673754406995,-0.29976714426565876,0.6200641693591191,-0.11793577432708453,-0.14202498992664628,0.03684989995244666,-1.125582788791754,-1.0379711273289014,-1.0768849401804828,-0.9944900452285554,-0.9519309402544156,-0.8456210795457871,-0.9404934637140909,-0.848605170412422,-0.5920376834692138,-1.1295353280732174,-0.4488533320765616,-0.5589783691025041,-0.5244487472167685,-0.6802062613795006,0.1661009482475979,0.46676905681473074,-0.2080499694252426,-0.10464063909988161,-0.10784758552778456,-0.20487591186542076,-0.1317353330083976,-0.14122857253298388,-0.3415993122633516,-0.42802905820688836,-0.3164696470127298,-0.2792661792479716,-0.42747349068664386
MZ040801,-0.7728813923961431,-0.4282600577930274,0.28101306362171447,-0.3644698085633039,0.29906585903733424,-0.1498256254707939,-0.17277424753321285,-0.11793577432708453,-0.14639842437728365,-0.18529108138559233,-0.7559765799482444,-0.6971951973731644,-0.4344272136909859,-0.38091293643198154,-0.4515670129618752,-0.6098484181510289,0.045104739210845735,-0.8261075322834435,-0.21368178995525286,-0.037694485340318266,-1.167844591272728,0.3176708255926434,-0.06904647428503634,-1.2448205877198564,-0.595787536629123,-0.3201517188394337,-0.6653608394727705,-0.08614750991944252,-0.09244823101269725,-0.2623907956795893,-0.1317353330083976,-0.12631842353977651,0.93166692904132,-0.23591970786069508,-0.06317557472593073,-0.11718546611761228,-0.40424946590967
MZ011402,-0.6520976619366956,-0.2553736190694597,-1.029718089188615,-0.3640679454940645,-0.33445302482857264,-0.28305656048527394,-0.11445476167170064,-0.11793577432708453,-0.14639842437728365,1.4915025906564938,0.06882282369269874,-0.9680275593961084,-0.700302973486271,-0.49228785902592354,-0.6663682191733159,-0.30067291733032625,-0.5763347324525413,-0.6186512387159329,0.09397876957428031,0.8662940498070435,-0.5842491596496879,-1.0488358741912225,-0.2528280813588835,0.3229248704852011,0.33996473883004347,0.7046763103961388,0.7912380621694162,-0.10565961739874631,-0.10784758552778456,-0.28638799770069073,-0.1317353330083976,-0.14240014564295425,-0.3415993122633516,-0.3403777601348903,-0.22396559336551453,-0.2314881786824366,-0.4321354051680476
MZ050501,-0.8990747471331448,0.39492687494841133,-0.5205971277695016,1.697755620857764,1.5519013777714916,-0.1300618958229573,2.4168733457626743,0.2977880704045451,-0.14639842437728365,-0.2627090323855375,1.2480928568092213,1.2525813989524777,1.3399197587964073,1.1988008554536433,1.6537958480381998,1.245357267811432,1.0838291049076423,1.327319083217404,1.1234782738896893,1.1201036461585592,-2.0016082522631535,1.574022383615435,1.2831848565842847,-1.2946371906496061,0.21988563468297181,-1.8004750039028161,-1.2193861204978136,-0.10565961739874631,-0.10784758552778456,-0.16178193661234608,-0.1317353330083976,-0.1311708650965557,-0.3415993122633516,-0.0870991308897345,-0.2564035015994009,-0.25098717498608575,-0.3027860247585283
